subject,relation,object,sentence,source_url
Herbert,marry,Parkinson,"Herbert married Flora Lillian Parkinson in San Pedro, California, in 1941.",https://en.wikipedia.org/wiki/Frank_Herbert
Herbert,attend,University,"After the war, Herbert attended the University of Washington, where he met Beverly Ann Stuart at a creative writing class in 1946.",https://en.wikipedia.org/wiki/Frank_Herbert
he,meet,Stuart,"After the war, Herbert attended the University of Washington, where he met Beverly Ann Stuart at a creative writing class in 1946.",https://en.wikipedia.org/wiki/Frank_Herbert
who,sell,work,"They were the only students who had sold any work for publication; Herbert had sold two pulp adventure stories to magazines, the first to Esquire in 1",https://en.wikipedia.org/wiki/Frank_Herbert
Herbert,sell,stories,"They were the only students who had sold any work for publication; Herbert had sold two pulp adventure stories to magazines, the first to Esquire in 1",https://en.wikipedia.org/wiki/Frank_Herbert
Stuart,sell,story,"They were the only students who had sold any work for publication; Herbert had sold two pulp adventure stories to magazines, the first to Esquire in 1",https://en.wikipedia.org/wiki/Frank_Herbert
they,befriend,psychologists,Here they befriended the psychologists Ralph and Irene Slattery.,https://en.wikipedia.org/wiki/Frank_Herbert
Slatterys,introduce,Herbert,"The Slatterys introduced Herbert to the work of several thinkers who would influence his writing, including Freud, Jung, Jaspers, and Heidegger; they ",https://en.wikipedia.org/wiki/Frank_Herbert
who,influence,writing,"The Slatterys introduced Herbert to the work of several thinkers who would influence his writing, including Freud, Jung, Jaspers, and Heidegger; they ",https://en.wikipedia.org/wiki/Frank_Herbert
they,familiarize,Herbert,"The Slatterys introduced Herbert to the work of several thinkers who would influence his writing, including Freud, Jung, Jaspers, and Heidegger; they ",https://en.wikipedia.org/wiki/Frank_Herbert
he,read,fiction,"Early career
[edit]In a 1973 interview, Herbert stated that he had been reading science fiction ""about ten years"" before he began writing in the genre",https://en.wikipedia.org/wiki/Frank_Herbert
he,list,authors,"Early career
[edit]In a 1973 interview, Herbert stated that he had been reading science fiction ""about ten years"" before he began writing in the genre",https://en.wikipedia.org/wiki/Frank_Herbert
which,spearhead,franchise.[28,"The novel Dune was published in 1965, which spearheaded the Dune franchise.[28]",https://en.wikipedia.org/wiki/Frank_Herbert
He,tell,McNelly,He later told Willis E. McNelly that the novel originated when he was assigned to write a magazine article about sand dunes in the Oregon Dunes near F,https://en.wikipedia.org/wiki/Frank_Herbert
it,plant,seed,"He got overinvolved and ended up with far more raw material than needed for an article; while the article was never written, it planted in Herbert the",https://en.wikipedia.org/wiki/Frank_Herbert
Dune,take,years,"He got overinvolved and ended up with far more raw material than needed for an article; while the article was never written, it planted in Herbert the",https://en.wikipedia.org/wiki/Frank_Herbert
work,form,basis,"Herbert's environmental work in Oregon formed the basis of the speculative ecological work of the Fremen, which parallels real-world efforts and tacti",https://en.wikipedia.org/wiki/Frank_Herbert
which,parallel,efforts,"Herbert's environmental work in Oregon formed the basis of the speculative ecological work of the Fremen, which parallels real-world efforts and tacti",https://en.wikipedia.org/wiki/Frank_Herbert
Analog,publish,it,"Analog (formerly Astounding, but still edited by John W. Campbell) published it in two parts comprising eight installments, ""Dune World"" from December",https://en.wikipedia.org/wiki/Frank_Herbert
I,make,mistake,"One editor prophetically wrote, ""I might be making the mistake of the decade, but...""[34]
Sterling E. Lanier, an editor of Chilton Book Company (known",https://en.wikipedia.org/wiki/Frank_Herbert
Lanier,read,serials,"One editor prophetically wrote, ""I might be making the mistake of the decade, but...""[34]
Sterling E. Lanier, an editor of Chilton Book Company (known",https://en.wikipedia.org/wiki/Frank_Herbert
Herbert,rewrite,much,"Herbert rewrote much of his text.[36]
Dune was soon a critical success.[34]",https://en.wikipedia.org/wiki/Frank_Herbert
It,win,Award,"It won the Nebula Award for Best Novel in 1965 and shared the Hugo Award in 1966 with ...And Call Me Conrad by Roger Zelazny.[37]
Dune was not an imme",https://en.wikipedia.org/wiki/Frank_Herbert
Herbert,make,"20,000","It won the Nebula Award for Best Novel in 1965 and shared the Hugo Award in 1966 with ...And Call Me Conrad by Roger Zelazny.[37]
Dune was not an imme",https://en.wikipedia.org/wiki/Frank_Herbert
publication,open,doors,The publication of Dune did open doors for him; he was the Seattle Post-Intelligencer's education writer from 1969 to 1972 and lecturer in general stu,https://en.wikipedia.org/wiki/Frank_Herbert
He,divide,time,"He divided his time between homes in Hawaii and Washington's Olympic Peninsula; his home in Port Townsend on the peninsula was intended to be an ""ecol",https://en.wikipedia.org/wiki/Frank_Herbert
He,continue,saga,"He continued his Dune saga with Dune Messiah (1969), Children of Dune (1976), God Emperor of Dune (1981), Heretics of Dune (1984) and Chapterhouse: Du",https://en.wikipedia.org/wiki/Frank_Herbert
death,leave,storylines,"Herbert planned to write a seventh novel to conclude the series, but his death in 1986 left storylines unresolved.[44]
Other works by Herbert include ",https://en.wikipedia.org/wiki/Frank_Herbert
works,include,Godmakers,"Herbert planned to write a seventh novel to conclude the series, but his death in 1986 left storylines unresolved.[44]
Other works by Herbert include ",https://en.wikipedia.org/wiki/Frank_Herbert
Herbert,include,dedication,"In his afterword to 1985's Chapterhouse: Dune, Herbert included a dedication to Beverly.",https://en.wikipedia.org/wiki/Frank_Herbert
he,receive,Prize,"In 1961, he received the Kalinga Prize, a UNESCO award for popularising science.",https://en.wikipedia.org/wiki/Arthur_C._Clarke
writings,earn,number,"His science fiction writings in particular earned him a number of Hugo and Nebula awards, which, along with a large readership, made him one of the to",https://en.wikipedia.org/wiki/Arthur_C._Clarke
fiction,have,Three,"For many years, science fiction had a ""Big Three"", comprising Clarke and American writers Robert Heinlein and Isaac Asimov.[5]",https://en.wikipedia.org/wiki/Arthur_C._Clarke
he,join,Society,"In 1934, while still a teenager, he joined the British Interplanetary Society (BIS).",https://en.wikipedia.org/wiki/Arthur_C._Clarke
Clarke,augment,popularity,"Clarke augmented his popularity in the 1980s, as the host of television shows such as Arthur C. Clarke's Mysterious World.",https://en.wikipedia.org/wiki/Arthur_C._Clarke
He,receive,education,He received his secondary education at Huish's Grammar School in Taunton.,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Clarke,attribute,interest,Clarke attributed his interest in science fiction to reading three items: the November 1928 issue of Amazing Stories in 1929; Last and First Men by Ol,https://en.wikipedia.org/wiki/Arthur_C._Clarke
he,join,Association,"In his teens, he joined the Junior Astronomical Association and contributed to Urania, the society's journal, which was edited in Glasgow by Marion Ea",https://en.wikipedia.org/wiki/Arthur_C._Clarke
she,add,section,"At Clarke's request, she added an ""Astronautics"" section, which featured a series of articles written by him on spacecraft and space travel.",https://en.wikipedia.org/wiki/Arthur_C._Clarke
which,feature,series,"At Clarke's request, she added an ""Astronautics"" section, which featured a series of articles written by him on spacecraft and space travel.",https://en.wikipedia.org/wiki/Arthur_C._Clarke
Clarke,contribute,pieces,"Clarke also contributed pieces to the ""Debates and Discussions Corner"", a counterpoint to a Urania article offering the case against space travel, and",https://en.wikipedia.org/wiki/Arthur_C._Clarke
He,share,flat,"He and some fellow science fiction writers shared a flat in Gray's Inn Road, where he got the nickname ""Ego"" because of his absorption in subjects tha",https://en.wikipedia.org/wiki/Arthur_C._Clarke
he,get,nickname,"He and some fellow science fiction writers shared a flat in Gray's Inn Road, where he got the nickname ""Ego"" because of his absorption in subjects tha",https://en.wikipedia.org/wiki/Arthur_C._Clarke
Clarke,spend,most,"Clarke spent most of his wartime service working on ground-controlled approach (GCA) radar, as documented in the semiautobiographical Glide Path, his ",https://en.wikipedia.org/wiki/Arthur_C._Clarke
Clarke,discover,ruins,"In 1957, during a dive trip off Trincomalee, Clarke discovered the underwater ruins of a temple, which subsequently made the region popular with diver",https://en.wikipedia.org/wiki/Arthur_C._Clarke
he,set,school,"Though Clarke lived mostly in Colombo, he set up a small dive school and a simple dive shop near Trincomalee.",https://en.wikipedia.org/wiki/Arthur_C._Clarke
He,hold,country.[37,"He was held in such high esteem that when fellow science fiction writer Robert A. Heinlein came to visit, the Sri Lanka Air Force provided a helicopte",https://en.wikipedia.org/wiki/Arthur_C._Clarke
Force,provide,helicopter,"He was held in such high esteem that when fellow science fiction writer Robert A. Heinlein came to visit, the Sri Lanka Air Force provided a helicopte",https://en.wikipedia.org/wiki/Arthur_C._Clarke
he,portray,himself,"In 1994, Clarke appeared in a science fiction film; he portrayed himself in the film Without Warning, an American production about an apocalyptic alie",https://en.wikipedia.org/wiki/Arthur_C._Clarke
shop,continue,host,"The dive shop that he set up continues to operate from Trincomalee through the Arthur C Clarke Foundation.[43]
Television series host
[edit]In the 198",https://en.wikipedia.org/wiki/Arthur_C._Clarke
Clarke,present,programmes,"The dive shop that he set up continues to operate from Trincomalee through the Arthur C Clarke Foundation.[43]
Television series host
[edit]In the 198",https://en.wikipedia.org/wiki/Arthur_C._Clarke
who,predecease,him,"Clarke is buried with Ekanayake, who predeceased him by three decades, in Kanatte Cemetery, Colombo's main burial ground and crematorium.[45]",https://en.wikipedia.org/wiki/Arthur_C._Clarke
Baxter,cite,homosexuality,"In his biography of Stanley Kubrick, John Baxter cites Clarke's homosexuality as a reason why he relocated, due to more tolerant laws with regard to h",https://en.wikipedia.org/wiki/Arthur_C._Clarke
He,find,success[7,"He found little commercial success[7] until his alternative history novel The Man in the High Castle (1962) earned him acclaim, including a Hugo Award",https://en.wikipedia.org/wiki/Philip_K._Dick
novel,earn,acclaim,"He found little commercial success[7] until his alternative history novel The Man in the High Castle (1962) earned him acclaim, including a Hugo Award",https://en.wikipedia.org/wiki/Philip_K._Dick
novel,win,Award,"His 1974 novel Flow My Tears, the Policeman Said won the John W. Campbell Memorial Award for Best Science Fiction Novel.[9]
Following years of drug us",https://en.wikipedia.org/wiki/Philip_K._Dick
films,include,Runner,"Popular films based on his works include Blade Runner (1982) and Blade Runner 2049 (2017), Total Recall (adapted twice: in 1990 and in 2012), Screamer",https://en.wikipedia.org/wiki/Philip_K._Dick
Video,produce,adaptation,"Beginning in 2015, Amazon Prime Video produced the multi-season television adaptation The Man in the High Castle, based on Dick's 1962 novel; and in 2",https://en.wikipedia.org/wiki/Philip_K._Dick
Channel,produce,series,"Beginning in 2015, Amazon Prime Video produced the multi-season television adaptation The Man in the High Castle, based on Dick's 1962 novel; and in 2",https://en.wikipedia.org/wiki/Philip_K._Dick
death,affect,life,"Jane's death on January 26, 1929, six weeks after their birth, profoundly affected Philip's life, leading to the recurrent motif of the ""phantom twin""",https://en.wikipedia.org/wiki/Philip_K._Dick
she,take,job,"Determined to raise Philip alone, she took a job in Washington, D.C., and moved there with her son.",https://en.wikipedia.org/wiki/Philip_K._Dick
he,read,magazine,"Dick stated that he read his first science fiction magazine, Stirring Science Stories, in 1940.[22]",https://en.wikipedia.org/wiki/Philip_K._Dick
Dick,attend,School,"Dick attended Berkeley High School in Berkeley, California.",https://en.wikipedia.org/wiki/Philip_K._Dick
he,befriend,Duncan,"At Berkeley, he befriended poet Robert Duncan and poet and linguist Jack Spicer, who gave Dick ideas for a Martian language.",https://en.wikipedia.org/wiki/Philip_K._Dick
who,give,ideas,"At Berkeley, he befriended poet Robert Duncan and poet and linguist Jack Spicer, who gave Dick ideas for a Martian language.",https://en.wikipedia.org/wiki/Philip_K._Dick
F&SF,describe,Dick,"By 1953, F&SF described Dick as ""one of the most prolific new professionals in the field"", joking that ""the editors of Whizzing Star Patrol and of the",https://en.wikipedia.org/wiki/Philip_K._Dick
Dick,win,Award,"In 1963, Dick won the Hugo Award for The Man in the High Castle.[8]",https://en.wikipedia.org/wiki/Philip_K._Dick
Heinlein,offer,help,"In the introduction to the 1980 short story collection, The Golden Man, he wrote:
""Several years ago, when I was ill, Heinlein offered his help, anyth",https://en.wikipedia.org/wiki/Philip_K._Dick
he,phone,me,"In the introduction to the 1980 short story collection, The Golden Man, he wrote:
""Several years ago, when I was ill, Heinlein offered his help, anyth",https://en.wikipedia.org/wiki/Philip_K._Dick
I,owe,lot,"One time when I owed the IRS a lot of money and couldn't raise it, Heinlein loaned the money to me.",https://en.wikipedia.org/wiki/Philip_K._Dick
Heinlein,loan,money,"One time when I owed the IRS a lot of money and couldn't raise it, Heinlein loaned the money to me.",https://en.wikipedia.org/wiki/Philip_K._Dick
Guin,begin,studies,"Having earned a master's degree in French, Le Guin began doctoral studies but abandoned these after her marriage in 1953 to historian Charles Le Guin.",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
she,achieve,success,"She began writing full-time in the late 1950s, and she achieved major critical and commercial success with the novels A Wizard of Earthsea (1968) and ",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,win,awards,"For the latter volume, Le Guin won both the Hugo and Nebula awards for best novel, becoming the first woman to do so.",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
anthropology,have,influence,"Cultural anthropology, Taoism, feminism, and the writings of Carl Jung all had a strong influence on Le Guin's work.",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,subvert,tropes,"Le Guin often subverted typical speculative fiction tropes, such as by writing dark-skinned protagonists in Earthsea, and also used unusual stylistic ",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
She,explore,structures,"She explored alternative political structures in many stories, such as the philosophical short story ""The Ones Who Walk Away from Omelas"" (1973) and t",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
She,receive,accolades,"She received numerous accolades, including eight Hugo Awards, six Nebula Awards, and twenty-five Locus Awards; in 2003, she became the second woman ho",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Library,name,her,"The U.S. Library of Congress named her a Living Legend in 2000, and in 2014, she won the National Book Foundation Medal for Distinguished Contribution",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
she,win,Medal,"The U.S. Library of Congress named her a Living Legend in 2000, and in 2014, she won the National Book Foundation Medal for Distinguished Contribution",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,influence,authors,"Le Guin influenced many other authors, including the Booker Prize winner Salman Rushdie, David Mitchell, Neil Gaiman, and Iain Banks.",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
mother,have,degree,"Le Guin's mother, Theodora Kroeber (born Theodora Covel Kracaw), had a graduate degree in psychology, but turned to writing in her 60s, developing a s",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,have,brothers,"Ishi was the last known member of the Yahi tribe after the rest of its members died or were killed by white colonizers.[8][10][11]
Le Guin had three o",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
family,have,number,"The Kroeber family had a number of visitors, including well-known academics such as Robert Oppenheimer; Le Guin would later use Oppenheimer as the mod",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,use,Oppenheimer,"The Kroeber family had a number of visitors, including well-known academics such as Robert Oppenheimer; Le Guin would later use Oppenheimer as the mod",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
reading,include,fiction,Le Guin's reading included science fiction and fantasy: she and her siblings often read issues of Thrilling Wonder Stories and Astounding Science Fict,https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
she,read,issues,Le Guin's reading included science fiction and fantasy: she and her siblings often read issues of Thrilling Wonder Stories and Astounding Science Fict,https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,develop,interest,"In addition to reading, Le Guin also developed an early interest in writing; she wrote a short story when she was nine, and submitted her first short ",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
she,write,story,"In addition to reading, Le Guin also developed an early interest in writing; she wrote a short story when she was nine, and submitted her first short ",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
she,submit,anything,"The piece was rejected, and she did not submit anything else for another 10 years.[4][14][15]
Le Guin attended Berkeley High School.[16]",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,attend,School.[16,"The piece was rejected, and she did not submit anything else for another 10 years.[4][14][15]
Le Guin attended Berkeley High School.[16]",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
she,take,degree,"From 1947 to 1951 she took a Bachelor of Arts degree in Renaissance French and Italian literature from Radcliffe College of Harvard University, gradua",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,undertake,studies,"Le Guin undertook graduate studies at Columbia University, and earned a Master of Arts degree in French in 1952.[19]",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Ursula,meet,Guin.[19,"Married life and death
[edit]In 1953, while traveling to France aboard the Queen Mary, Ursula met historian Charles Le Guin.[19]",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
husband,finish,doctorate,"While her husband finished his doctorate at Emory University in Georgia, and later at the University of Idaho, Le Guin taught French: first at Mercer ",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,teach,French,"While her husband finished his doctorate at Emory University in Georgia, and later at the University of Idaho, Le Guin taught French: first at Mercer ",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,receive,grants,"They would live in Portland for the rest of their lives,[23] although Le Guin received further Fulbright grants to travel to London in 1968 and 1975.[",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
time,constrain,schedule.[19,"They would live in Portland for the rest of their lives,[23] although Le Guin received further Fulbright grants to travel to London in 1968 and 1975.[",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
She,teach,courses,"She taught courses at Tulane University, Bennington College, and Stanford University, among other institutions.[23][25]
Le Guin died on January 22, 20",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
which,include,speeches,"A public memorial service, which included speeches by the writers Margaret Atwood, Molly Gloss, and Walidah Imarisha, was held in Portland on June 13,",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
we,want,voices,"A public memorial service, which included speeches by the writers Margaret Atwood, Molly Gloss, and Walidah Imarisha, was held in Portland on June 13,",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
who,see,alternatives,"A public memorial service, which included speeches by the writers Margaret Atwood, Molly Gloss, and Walidah Imarisha, was held in Portland on June 13,",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,refuse,Award,"Le Guin refused a Nebula Award for her story ""The Diary of the Rose"" in 1977, in protest of the Science Fiction Writers of America's revocation of Sta",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,attribute,revocation,"Le Guin attributed the revocation to Lem's criticism of American science fiction and willingness to live in the Eastern Bloc of states, and said she f",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
she,publish,translation,"In 1997, she published a translation of the Tao Te Ching.[32][33]
In December 2009, Le Guin resigned from the Authors Guild in protest over its endors",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Guin,criticize,Amazon,"In a speech at the 2014 National Book Awards, Le Guin criticized Amazon and the control it exerted over the publishing industry, specifically referenc",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
speech,receive,attention,"Her speech received widespread media attention within and outside the United States, and was broadcast twice by National Public Radio.[29][36][37]
Chr",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin
Encyclopedia,contain,discussion,"[edit]The Encyclopedia of Science Fiction, edited by John Clute and Peter Nicholls in 1993, contains an extensive discussion of the problem of definin",https://en.wikipedia.org/wiki/Science_fiction
critics,use,fi,"By the 1970s, critics in the field, such as Damon Knight and Terry Carr, were using sci fi to distinguish hack-work from serious science fiction.[15]",https://en.wikipedia.org/wiki/Science_fiction
novel,contain,themes,"Written in the 2nd century CE by the satirist Lucian, the novel A True Story contains many themes and tropes that are characteristic of modern science",https://en.wikipedia.org/wiki/Science_fiction
it,depict,journey,"Jonathan Swift's Gulliver's Travels (1726), Ludvig Holberg's Nicolai Klimii Iter Subterraneum (1741) and Voltaire's Micromégas (1752).[29]
Isaac Asimo",https://en.wikipedia.org/wiki/Science_fiction
Poe,write,stories,"Edgar Allan Poe wrote several stories considered to be science fiction, including ""The Unparalleled Adventure of One Hans Pfaall"" (1835) about a trip ",https://en.wikipedia.org/wiki/Science_fiction
novels,include,Machine,"His novels include The Time Machine (1895), The Island of Doctor Moreau (1896), The Invisible Man (1897), and The War of the Worlds (1898).",https://en.wikipedia.org/wiki/Science_fiction
It,describe,world,"It describes a world of harmony and conformity within a united totalitarian state.[52]
In 1926, Hugo Gernsback published the first American science fi",https://en.wikipedia.org/wiki/Science_fiction
Gernsback,publish,magazine,"It describes a world of harmony and conformity within a united totalitarian state.[52]
In 1926, Hugo Gernsback published the first American science fi",https://en.wikipedia.org/wiki/Science_fiction
I,mean,type,"By 'scientifiction' I mean the Jules Verne, H. G. Wells and Edgar Allan Poe type of story—a charming romance intermingled with scientific fact and pro",https://en.wikipedia.org/wiki/Science_fiction
Herbert,write,sequels,"Herbert wrote five sequels: Dune Messiah, Children of Dune, God Emperor of Dune, Heretics of Dune, and Chapterhouse: Dune.",https://en.wikipedia.org/wiki/Dune_(novel)
son,continue,series,"Following Herbert's death in 1986, his son Brian Herbert and author Kevin J. Anderson continued the series in over a dozen additional novels since 199",https://en.wikipedia.org/wiki/Dune_(novel)
dunes,swallow,cities,"Herbert claimed in a letter to his literary agent, Lurton Blassingame, that the moving dunes could ""swallow whole cities, lakes, rivers, highways.",https://en.wikipedia.org/wiki/Dune_(novel)
They,stop,Sands,"""[5] Herbert's article on the dunes, ""They Stopped the Moving Sands"", was never completed (and only published decades later in The Road to Dune), but ",https://en.wikipedia.org/wiki/Dune_(novel)
research,spark,interest,"""[5] Herbert's article on the dunes, ""They Stopped the Moving Sands"", was never completed (and only published decades later in The Road to Dune), but ",https://en.wikipedia.org/wiki/Dune_(novel)
Herbert,draw,inspiration,"Herbert further drew inspiration from Native American mentors like ""Indian Henry"" (the name Herbert’s son recalls him using for a man otherwise likely",https://en.wikipedia.org/wiki/Dune_(novel)
Hansen,share,writing,", Hansen regularly shared his writing with Herbert.",https://en.wikipedia.org/wiki/Dune_(novel)
men,eat,earth,"""White men are eating the earth,"" Hansen told Herbert in 1958, after sharing a piece on the effect of logging on the Quileute reservation.",https://en.wikipedia.org/wiki/Dune_(novel)
Hansen,tell,Herbert,"""White men are eating the earth,"" Hansen told Herbert in 1958, after sharing a piece on the effect of logging on the Quileute reservation.",https://en.wikipedia.org/wiki/Dune_(novel)
kanly,represent,feud,"Language used on both sides of that conflict become terms in Herbert's world—chakobsa, a Caucasian hunting language, becomes a battle language of huma",https://en.wikipedia.org/wiki/Dune_(novel)
Herbert,borrow,lines,"Language used on both sides of that conflict become terms in Herbert's world—chakobsa, a Caucasian hunting language, becomes a battle language of huma",https://en.wikipedia.org/wiki/Dune_(novel)
that,allow,bending,"Another significant source of inspiration for Dune was Herbert's experiences with psilocybin and his hobby of cultivating mushrooms, according to myco",https://en.wikipedia.org/wiki/Dune_(novel)
Herbert,spend,years,"Another significant source of inspiration for Dune was Herbert's experiences with psilocybin and his hobby of cultivating mushrooms, according to myco",https://en.wikipedia.org/wiki/Dune_(novel)
He,publish,World,"He published a three-part serial Dune World in the monthly Analog, from December 1963 to February 1964.",https://en.wikipedia.org/wiki/Dune_(novel)
Lanier,see,manuscript,"Sterling Lanier, an editor at Chilton, had seen Herbert's manuscript and had urged his company to take a risk in publishing the book.",https://en.wikipedia.org/wiki/Dune_(novel)
book,gain,acclaim,"Over the course of time, the book gained critical acclaim, and its popularity spread by word-of-mouth to allow Herbert to start working full time on d",https://en.wikipedia.org/wiki/Dune_(novel)
